label,group,n,correct,errors,accuracy,top_wrong_predictions,median_duration_s,median_raw_speed,median_raw_low_motion_frac,mean_z_duration_s,mean_rank_duration_s,mean_z_raw_speed_mean,mean_rank_raw_speed_mean,mean_z_raw_acc_mean,mean_rank_raw_acc_mean,mean_z_raw_jerk_mean,mean_rank_raw_jerk_mean,mean_z_raw_pose_amplitude,mean_rank_raw_pose_amplitude,mean_z_raw_low_motion_frac,mean_rank_raw_low_motion_frac,mean_z_raw_cad_hz,mean_rank_raw_cad_hz
Evenly,NEUT,11,9,2,0.8181818181818182,Slowly (1); Tensely (1),14.400000000372529,0.37971047980870803,0.09937888198757763,0.10219630061303184,0.5,-0.3607624837139935,0.4090909090909091,-0.39180907130799447,0.3181818181818182,-0.3604331079861801,0.36363636363636365,-0.44451987588709635,0.3181818181818182,0.5870052058078835,0.6818181818181818,-0.14329578120556466,0.5
Peacefully,SLOW,9,7,2,0.7777777777777778,Carefully (1); Intently (1),20.200000001117587,0.20908520574328865,0.08235294117647059,0.7292818265513566,0.7777777777777778,-0.6555966194251442,0.3333333333333333,-0.8870133017897912,0.2222222222222222,-0.8919468941134188,0.16666666666666666,-0.011435327246906126,0.5,-0.2249169240149666,0.3888888888888889,-0.4030606441901947,0.3888888888888889
Quietly,SLOW,9,7,2,0.7777777777777778,Smoothly (1); Tensely (1),13.400000000372529,0.2515573387773966,0.09550561797752809,0.7438604045053339,0.7777777777777778,-0.7594992362032181,0.16666666666666666,-0.8260110621183094,0.16666666666666666,-0.8181832157630299,0.16666666666666666,-0.3642232311809371,0.3888888888888889,-0.5964805585029693,0.25,0.24577834437441226,0.6111111111111112
Lazily,SLOW,6,4,2,0.6666666666666666,Contently (2),26.900000002235174,0.17499580092328504,0.03289473684210526,0.9015603823798882,0.9,-0.3859423425910894,0.4,-0.41101403317768404,0.4,-0.37284423564600006,0.4,0.793913681992484,0.8,-0.28663743658040397,0.4,0.3091628217948375,0.6
Tensely,NERV,6,4,2,0.6666666666666666,Evenly (1); Joyfully (1),10.800000000745058,0.3251558663503785,0.04755639097744361,-1.039590579669331,0.0,0.631465489416344,0.75,0.8483812639028452,0.8333333333333334,0.7688780302271723,0.8333333333333334,-0.1816350645380107,0.3333333333333333,-0.19669145360793935,0.5,0.06030739969181259,0.5
Contently,SLOW,3,1,2,0.3333333333333333,Lazily (2),28.0,0.2718470610147965,0.1392857142857143,0.433092373229415,0.6666666666666666,-0.04852985022914854,0.5,-0.05591587769680947,0.5,0.02597128979989353,0.5,0.09735237799334773,0.5,0.6959193261127293,0.8333333333333334,-0.2991160239446308,0.3333333333333333
Quickly,FAST,53,52,1,0.9811320754716981,Earnestly (1),8.800000000745058,0.3387866777541713,0.04918032786885246,-1.1042464648257642,0.05660377358490566,0.9604127937567718,0.8773584905660378,0.9472968163645905,0.8584905660377359,0.8943871712059861,0.8113207547169812,0.07128695276269778,0.5188679245283019,-0.3036794054406412,0.37264150943396224,0.23099998923282103,0.5943396226415094
Gently,SLOW,35,34,1,0.9714285714285714,Evenly (1),14.900000002235174,0.2346784285048467,0.08275862068965517,1.050701948767836,0.9242424242424242,-0.6938615450487141,0.19696969696969696,-0.6918549166731855,0.18181818181818182,-0.6652791038236584,0.22727272727272727,0.0033707777475535865,0.48484848484848486,0.2865104290051227,0.6590909090909091,0.1751752342701019,0.5757575757575758
Attentively,CARE,18,17,1,0.9444444444444444,Leisurely (1),15.350000001490116,0.2441251446673073,0.07910872313527181,0.3066544941474243,0.6111111111111112,-0.054084943348267224,0.5,0.008721609646470015,0.5277777777777778,0.04499028689940334,0.5555555555555556,0.4047810734480907,0.6666666666666666,0.44504060046173344,0.6805555555555556,0.24882835989907415,0.5555555555555556
Urgently,FAST,15,14,1,0.9333333333333333,Peacefully (1),10.599999999627471,0.3346171859538106,0.06896551724137931,-1.1613558014900014,0.03333333333333333,0.7694969814420215,0.8,0.8841871350322068,0.8666666666666667,0.870417778939834,0.8666666666666667,-0.1406042563965078,0.4666666666666667,-0.317203154240889,0.4166666666666667,0.13658999319774348,0.5357142857142857
Gracefully,NEUT,14,13,1,0.9285714285714286,Calmly (1),20.649999998509884,0.20033826335030264,0.07201843671980027,1.0562452110465386,0.9285714285714286,-0.6342839311073788,0.21428571428571427,-0.6228594446683263,0.21428571428571427,-0.5732757567142047,0.25,-0.03928341038734743,0.5,-0.5139425401899141,0.32142857142857145,-0.5299259086624599,0.2857142857142857
Nervously,NERV,13,12,1,0.9230769230769231,Steadily (1),11.400000000372529,0.34288943364745694,0.04738154613466334,-1.0586542229001448,0.07692307692307693,1.0486088474005202,0.9615384615384616,1.0567976639450862,0.9230769230769231,1.0329943647609996,0.8846153846153846,0.6110055610038573,0.7307692307692307,0.16010244492610523,0.5961538461538461,0.24696460994423533,0.6538461538461539
Frantically,FAST,11,10,1,0.9090909090909091,Smoothly (1),19.699999999254942,0.318265323802714,0.03786754966887417,-1.1921260177789448,0.05,1.2433203101362693,0.95,1.1606664259379016,0.9,1.1396382993478957,0.9,0.36253030556528054,0.55,-0.45052066595022316,0.325,-0.16454220693145025,0.45
Patiently,SLOW,11,10,1,0.9090909090909091,Slowly (1),17.799999998882413,0.24582461966765315,0.06944444444444445,0.9730266652235277,0.9545454545454546,-0.779966486837337,0.22727272727272727,-0.6802782847439609,0.2727272727272727,-0.6195681305432617,0.2727272727272727,-0.10814861832154876,0.45454545454545453,0.31668147725420803,0.6818181818181818,0.29482964876354134,0.6363636363636364
Intently,CARE,10,9,1,0.9,Slowly (1),9.900000000372529,0.32884436263516864,0.1502016129032258,0.3898680081259849,0.65,-0.24269888164026715,0.35,-0.20179280540776312,0.35,-0.18370958144010413,0.35,-0.1875084417052159,0.35,-0.22200358233341477,0.325,-0.16504124355322394,0.45
Seriously,CARE,8,7,1,0.875,Slowly (1),11.300000002607703,0.1829372535190902,0.03317957166392092,0.26201984779806875,0.5625,-0.5591030781964444,0.25,-0.6119227480812728,0.25,-0.6751251763355468,0.3125,-0.12383063100200312,0.4375,0.4359072147124735,0.625,0.7727013106917793,0.8125
Precisely,CARE,3,2,1,0.6666666666666666,Slowly (1),15.750000000931323,0.2345091440297544,0.02348993288590604,-0.2261671545954589,0.5,-0.21627772648529953,0.5,-0.331972908492588,0.5,-0.3866696048508944,0.5,0.005486135423324656,0.5,0.28984172631041627,0.625,-0.6907699449583854,0.25
Swiftly,FAST,3,2,1,0.6666666666666666,Hurriedly (1),3.600000001490116,0.3926688491276275,0.1626984126984127,-1.0097962647270828,0.16666666666666666,0.7741525518589453,0.6666666666666666,0.5901541312778221,0.6666666666666666,0.5273765677995677,0.6666666666666666,0.26312010944861647,0.6666666666666666,0.056323079193726845,0.5,0.26050386762477074,0.5
Forcefully,FAST,2,1,1,0.5,Steadily (1),29.59999999962747,0.41617181457841057,0.13881262868908717,-0.3819019821034349,0.25,0.5583161380855456,0.75,-0.5115923724114695,0.25,-0.5216409848512418,0.25,-0.01651909132448559,0.5,1.2699689884629752,1.0,-0.49422951832169965,0.25
Lightly,SLOW,2,1,1,0.5,Steadily (1),11.650000000372529,0.26763732601995144,0.195124716553288,0.8767567502745482,0.75,-0.9944878051930154,0.0,-0.9050186360775494,0.0,-0.8795415725264543,0.0,-1.1113144910775827,0.0,0.2923983863933328,0.75,0.17523295216759416,0.5
Confidently,NEUT,1,0,1,0.0,Hurriedly (1),19.800000000745058,0.25783119423155926,0.025252525252525252,-0.059690412482396295,0.5,-0.6317469728938427,0.5,-0.610964665984017,0.5,-0.5360535932129546,0.5,-0.6824455579651577,0.5,-1.3760531298243175,0.0,1.4134694639630134,1.0
Diligently,CARE,1,0,1,0.0,Rapidly (1),30.600000001490116,0.30025240765682876,0.013071895424836602,1.0868567809228034,1.0,-0.7984870067640959,0.0,-0.8884249276877187,0.0,-0.8990840530170279,0.0,-0.6978574735195106,0.5,-1.406094866912163,0.0,1.0525772579193293,1.0
Earnestly,CARE,1,0,1,0.0,Quickly (1),5.799999997019768,0.3037249594177292,0.017241379310344827,-0.6906001907345644,0.5,1.3514710423830967,1.0,0.9864672844203894,1.0,0.7952292001915875,1.0,-0.4821628274139135,0.5,-0.7151152790249742,0.0,1.3379531860508005,1.0
Joyfully,NEUT,1,0,1,0.0,Quietly (1),14.300000000745058,0.33078963170118997,0.08391608391608392,1.252211866014832,1.0,-1.1586139141550582,0.0,-1.1158372208435612,0.0,-0.868374694277804,0.0,1.3693368295998123,1.0,-1.1273315472009169,0.0,-0.18762728148005356,0.5
quickly,FAST,1,0,1,0.0,Hurriedly (1),5.799999998882413,1.2680913187757457,0.43103448275862066,-0.4777174665440073,0.5,0.8160928098258573,1.0,0.7574932288318214,1.0,0.7179442926383754,1.0,1.3794533257246442,1.0,0.5070499461579354,0.5,-0.6514151956830732,0.5
Hastily,FAST,35,35,0,1.0,,11.549999998882413,0.37176108951821285,0.04521072796934866,-1.2227674423373505,0.014705882352941176,1.1093960200873452,0.9264705882352942,0.9933231537985617,0.8970588235294118,0.8928488629193256,0.8529411764705882,0.27893261657231533,0.6470588235294118,-0.3669540110170352,0.35294117647058826,0.40681992921539306,0.6617647058823529
Orderly,CARE,19,19,0,1.0,,19.40000000037253,0.3196575854380319,0.06479866660779725,0.21810393318997204,0.6111111111111112,-0.23596218251873577,0.4166666666666667,-0.23919380819568692,0.4444444444444444,-0.2660358271836493,0.4722222222222222,0.053816340153451284,0.5555555555555556,0.3288617734761363,0.625,-0.33402578300009733,0.3055555555555556
Briskly,FAST,13,13,0,1.0,,13.699999999254942,0.45861226029913593,0.0945945945945946,-0.895283506048582,0.11538461538461539,0.5616900455844959,0.6923076923076923,0.5140226051953,0.6538461538461539,0.4554229350990483,0.6538461538461539,0.1856165566611665,0.5769230769230769,-0.20536900650845552,0.38461538461538464,-0.17577509206781844,0.5
Casually,NEUT,11,11,0,1.0,,19.5,0.23233231321817205,0.06905370843989769,0.8441212138003962,0.8636363636363636,-0.9245942014164261,0.18181818181818182,-0.9381786387987862,0.045454545454545456,-0.8736425049039144,0.13636363636363635,-0.18968480984006986,0.4090909090909091,-0.10284977772846299,0.4090909090909091,-0.44955477898586316,0.2727272727272727
