label_a,label_b,symmetric_oof_errors,matched_sessions,feature,n_pairs,mean_a_minus_b_rank,median_a_minus_b_rank,sign_consistency,paired_standardised_mean,abs_mean_rank_delta
Anxiously,Calmly,2,18,dino_cos_mean,18,-0.6388888888888888,-0.5,0.9444444444444444,-1.699389742746521,0.6388888888888888
Evenly,Slowly,2,4,sk_v_mean,4,-0.625,-0.5,1.0,-2.5,0.625
Evenly,Slowly,2,4,sk_vmax_mean,4,-0.625,-0.5,1.0,-2.5,0.625
Evenly,Slowly,2,4,sk_jerk_mean,4,-0.625,-0.5,1.0,-2.5,0.625
Evenly,Slowly,2,4,imu_gyr_energy,4,0.625,0.5,1.0,2.5,0.625
Evenly,Slowly,2,4,dino_v_mean,4,0.625,0.5,1.0,2.5,0.625
Evenly,Slowly,2,4,raw_wrist_ankle_ratio,4,-0.625,-0.5,1.0,-2.5,0.625
Anxiously,Calmly,2,18,dino_v_mean,18,0.5833333333333334,0.5,0.9444444444444444,1.6499158227686108,0.5833333333333334
Anxiously,Calmly,2,18,dino_straight,18,0.5833333333333334,0.5,0.8888888888888888,1.2632440146753225,0.5833333333333334
Calmly,Carefully,2,4,dino_v_p90,4,0.5,0.75,0.75,0.7071067811865475,0.5
Calmly,Carefully,2,4,raw_speed_cv,4,0.5,0.75,0.75,0.7071067811865475,0.5
Calmly,Carefully,2,4,raw_ankle_speed_mean,4,0.5,0.5,1.0,,0.5
Calmly,Gracefully,2,2,duration_s,2,-0.5,-0.5,1.0,,0.5
Calmly,Gracefully,2,2,sk_jerk_mean,2,0.5,0.5,1.0,,0.5
Calmly,Gracefully,2,2,sk_v_iqr,2,0.5,0.5,1.0,,0.5
Carefully,Peacefully,2,2,sk_v_mean,2,0.5,0.5,1.0,,0.5
Carefully,Peacefully,2,2,sk_v_p90,2,0.5,0.5,1.0,,0.5
Evenly,Tensely,2,1,duration_s,1,0.5,0.5,1.0,,0.5
Evenly,Tensely,2,1,sk_v_mean,1,0.5,0.5,1.0,,0.5
Evenly,Tensely,2,1,sk_v_p90,1,0.5,0.5,1.0,,0.5
Hurriedly,quickly,2,1,duration_s,1,-0.5,-0.5,1.0,,0.5
Nervously,Steadily,2,2,raw_speed_cv,2,0.5,0.5,1.0,,0.5
Nervously,Steadily,2,2,raw_longest_low_motion_s,2,0.5,0.5,1.0,,0.5
Nervously,Steadily,2,2,raw_cad_hz,2,0.5,0.5,1.0,,0.5
Patiently,Slowly,2,1,duration_s,1,-0.5,-0.5,1.0,,0.5
Patiently,Slowly,2,1,sk_v_mean,1,0.5,0.5,1.0,,0.5
Calmly,Slowly,2,12,duration_s,12,-0.4583333333333333,-0.5,0.9166666666666666,-1.371110317525493,0.4583333333333333
Calmly,Slowly,2,12,dino_path,12,-0.4583333333333333,-0.5,0.9166666666666666,-1.371110317525493,0.4583333333333333
Calmly,Slowly,2,12,raw_duration_s,12,-0.4583333333333333,-0.5,0.9166666666666666,-1.371110317525493,0.4583333333333333
Calmly,Slowly,2,12,imu_acc_std,12,0.4166666666666667,0.5,0.9166666666666666,1.4433756729740645,0.4166666666666667
Calmly,Slowly,2,12,imu_dacc_mean,12,0.4166666666666667,0.5,0.9166666666666666,1.4433756729740645,0.4166666666666667
Calmly,Slowly,2,12,imu_acc_energy,12,0.4166666666666667,0.5,0.9166666666666666,1.4433756729740645,0.4166666666666667
Calmly,Slowly,2,12,imu_gyr_mean,12,0.4166666666666667,0.5,0.9166666666666666,1.4433756729740645,0.4166666666666667
Calmly,Slowly,2,12,imu_gyr_energy,12,0.4166666666666667,0.5,0.9166666666666666,1.4433756729740645,0.4166666666666667
Calmly,Leisurely,2,16,sk_hip_path,16,-0.40625,-0.5,0.8125,-0.8281766860861415,0.40625
Calmly,Leisurely,2,16,dino_path,16,-0.40625,-0.5,0.875,-1.0833333333333333,0.40625
Calmly,Leisurely,2,16,dino_cad_pow,16,0.40625,0.5,0.8125,0.8281766860861415,0.40625
