feature,n,eta2_group_rank,anova_p_exploratory,fast_minus_slow_mean_rank,care_minus_neut_mean_rank,nerv_minus_neut_mean_rank
dino_v_iqr,809,0.15321434574799583,5.773826236308933e-28,0.37135032150512026,-0.015184310638856113,0.26388888888888884
raw_speed_cv,795,0.15125962661128284,4.462714014998438e-27,-0.34971720758935915,-0.03785103785103783,-0.3281385281385282
dino_cad_hz,809,0.147643611200105,7.770118968193891e-27,0.352790346907994,-0.027908959727141525,0.2807539682539683
raw_cad_peak_frac,793,0.12265593854423895,2.0046402265273318e-21,0.3316905615292712,-0.0747863247863248,0.20050505050505052
raw_hip_path,795,0.0977400152500531,8.990742301344952e-17,-0.29717865246128045,0.02503052503052494,-0.2021645021645022
sk_hip_path,795,0.0977400152500531,8.990742301344952e-17,-0.29717865246128045,0.02503052503052494,-0.2021645021645022
raw_hip_efficiency,795,0.05841403132794652,1.1382334785103312e-09,0.2489395284600967,0.018925518925518914,0.06810966810966812
raw_pose_amplitude,795,0.028363568412454642,0.00014141174766692106,0.145794284962678,-0.051892551892551875,0.12611832611832613
raw_longest_low_motion_s,795,0.024108901377039405,0.0006849772191918544,-0.15586465423695367,0.03815628815628813,-0.0005772005772005651
raw_cad_hz,793,0.02334849323896027,0.0009246612533593714,0.10663082437275989,0.0570818070818071,0.16399711399711403
raw_low_motion_frac,795,0.008919982249883211,0.13134353366207088,-0.0842211699713919,0.050824175824175755,0.01504329004328997
raw_wrist_ankle_ratio,795,0.007867931379259027,0.18136786629246418,-0.08709019762585907,-0.007936507936507908,-0.05339105339105338
sk_spec_cent,795,0.006781079613223281,0.25028947943183544,0.05511985794613794,0.05982905982905984,0.101010101010101
dino_spec_cent,809,0.0024064924588094775,0.7468746363094739,-0.021330475510042135,0.019513314967860462,0.0813492063492064
