action,group,emotion_rows,errors,accuracy,median_duration_s,median_raw_speed
Getting dressed,NEUT,9,3,0.6666666666666666,18.699999999254942,0.39774537978403574
Getting dressed,SLOW,25,3,0.88,25.59999999962747,0.37927325824829133
Grabbing utensils,CARE,17,2,0.8823529411764706,32.75,0.16565158142903186
Grabbing utensils,FAST,40,2,0.95,14.299999998882413,0.29767930944330195
Grabbing utensils,NERV,5,1,0.8,19.90000000037253,0.33818171991408236
Grabbing utensils,NEUT,28,4,0.8571428571428571,20.5,0.1634223378435408
Grabbing utensils,SLOW,48,4,0.9166666666666666,22.899999998509884,0.25878963875546585
Jumping jacks,CARE,1,0,1.0,23.600000001490116,0.2764134819821779
Jumping jacks,FAST,13,0,1.0,15.699999999254942,0.45774881937677764
Jumping jacks,NERV,2,0,1.0,12.25,0.4360404220426473
Jumping jacks,NEUT,13,1,0.9230769230769231,21.40000000037253,0.31150540906735946
Jumping jacks,SLOW,15,2,0.8666666666666667,32.0,0.29673829769904236
Listening to the music with headphones,CARE,11,0,1.0,20.0,0.33377031239855365
Listening to the music with headphones,FAST,23,1,0.9565217391304348,16.0,0.3381915024645656
Listening to the music with headphones,NERV,12,1,0.9166666666666666,13.5,0.2283767182744972
Listening to the music with headphones,NEUT,11,1,0.9090909090909091,19.800000000745058,0.18986406549383794
Listening to the music with headphones,SLOW,44,6,0.8636363636363636,25.449999999254942,0.24164577625574424
Lunges,CARE,3,0,1.0,18.399999998509884,0.27399575977493973
Lunges,FAST,7,1,0.8571428571428571,13.399999998509884,0.42115341531967965
Lunges,NERV,2,0,1.0,14.149999999441206,0.36661096268175597
Lunges,NEUT,7,0,1.0,26.0,0.24382401130531356
Lunges,SLOW,7,1,0.8571428571428571,24.09999999962747,0.2533551519415412
Lying down,CARE,4,0,1.0,22.5,0.2468095373978516
Lying down,FAST,11,0,1.0,14.900000000372529,0.43886274854232865
Lying down,NERV,3,0,1.0,7.800000000745058,0.3757841862456546
Lying down,NEUT,6,0,1.0,19.100000000558794,0.31422895727814626
Lying down,SLOW,18,0,1.0,25.65000000037253,0.2662673378335412
Massaging oneself,CARE,10,1,0.9,22.0,0.20209097024471112
Massaging oneself,FAST,21,0,1.0,11.199999999254942,0.28555622714131257
Massaging oneself,NERV,5,0,1.0,21.899999998509884,0.28480589052661615
Massaging oneself,NEUT,12,0,1.0,20.399999999441206,0.20728327951084102
Massaging oneself,SLOW,30,2,0.9333333333333333,17.049999998882413,0.2124722959935605
Mopping,CARE,16,3,0.8125,23.65000000037253,0.24294500145050985
Mopping,FAST,21,2,0.9047619047619048,16.34999999962747,0.3484582678438722
Mopping,NEUT,8,1,0.875,28.0,0.24854847360668786
Mopping,SLOW,15,0,1.0,33.34999999962747,0.24718312334745202
Peeling fruit,CARE,25,2,0.92,14.199999999254942,0.27146138364724626
Peeling fruit,FAST,43,7,0.8372093023255814,10.850000001490116,0.4095920059195213
Peeling fruit,NERV,6,0,1.0,12.349999998696148,0.24115955773495984
Peeling fruit,NEUT,14,4,0.7142857142857143,23.450000000186265,0.2592323139980025
Peeling fruit,SLOW,46,6,0.8695652173913043,18.599999997764826,0.20545203172771384
Playing games,CARE,1,0,1.0,7.199999999254942,0.22999543905365533
Playing games,FAST,6,1,0.8333333333333334,13.999999999068677,0.30638693568619657
Playing games,NERV,9,1,0.8888888888888888,7.800000000745058,0.28009293565746723
Playing games,NEUT,8,1,0.875,14.75,0.23713314491711054
Playing games,SLOW,20,2,0.9,14.299999999813735,0.24706511227249411
Pouring,CARE,15,2,0.8666666666666667,20.399999998509884,0.2081502472720176
Pouring,FAST,47,6,0.8723404255319149,14.700000001117587,0.38464623055411884
Pouring,NERV,1,0,1.0,8.399999998509884,0.38967025760099183
Pouring,NEUT,30,3,0.9,18.5,0.2626990338798247
Pouring,SLOW,40,4,0.9,22.299999997019768,0.27940824631951316
Reading,CARE,17,6,0.6470588235294118,18.600000001490116,0.21357163434081586
Reading,FAST,20,0,1.0,16.40000000037253,0.3048143568842027
Reading,NERV,11,2,0.8181818181818182,18.199999999254942,0.2216986975332085
Reading,NEUT,10,0,1.0,23.950000001117587,0.18656059536342612
Reading,SLOW,34,9,0.7352941176470589,28.550000000745058,0.21036824895011313
Running,CARE,1,0,1.0,20.199999999254942,0.33942507746479467
Running,FAST,8,0,1.0,15.650000000372529,0.3328421971423866
Running,NERV,6,1,0.8333333333333334,17.200000000186265,0.36661096268175597
Running,NEUT,11,1,0.9090909090909091,26.0,0.2531382444203638
Running,SLOW,15,1,0.9333333333333333,25.700000002980232,0.20516817825146227
Sitting down,CARE,28,7,0.75,16.499999999068677,0.27977620804479597
Sitting down,FAST,49,2,0.9591836734693877,14.899999999441206,0.33670210287971003
Sitting down,NERV,22,2,0.9090909090909091,12.700000000186265,0.32489534614479065
Sitting down,NEUT,26,4,0.8461538461538461,20.050000000745058,0.2555781652704534
Sitting down,SLOW,82,14,0.8292682926829268,22.199999999254942,0.2400250320421125
Squats,CARE,10,0,1.0,26.0,0.2752046208785588
Squats,FAST,23,0,1.0,16.5,0.43886274854232865
Squats,NERV,3,0,1.0,7.300000000745058,0.45370622772340896
Squats,NEUT,17,1,0.9411764705882353,15.599999999627471,0.2877291200864207
Squats,SLOW,25,1,0.96,25.5,0.29407186104913885
Standing up,CARE,12,3,0.75,27.149999999441206,0.2328628023339369
Standing up,FAST,29,1,0.9655172413793104,20.09999999962747,0.30368068330601716
Standing up,NERV,12,1,0.9166666666666666,12.049999998882413,0.3051880063748791
Standing up,NEUT,21,1,0.9523809523809523,24.600000001490116,0.2567722878845246
Standing up,SLOW,45,2,0.9555555555555556,25.800000000745058,0.1925412009031559
Stirring,CARE,14,2,0.8571428571428571,19.449999999254942,0.19966988974058542
Stirring,FAST,42,4,0.9047619047619048,13.900000000372529,0.3923658000966085
Stirring,NERV,1,0,1.0,40.09999999962747,0.22869623280538687
Stirring,NEUT,28,2,0.9285714285714286,16.799999998882413,0.2699935407838333
Stirring,SLOW,39,5,0.8717948717948718,21.399999999441206,0.2695677260824558
Stretching,CARE,6,0,1.0,20.299999999813735,0.39645566779460295
Stretching,FAST,26,0,1.0,19.700000000186265,0.40007406524243966
Stretching,NERV,5,1,0.8,12.699999999254942,0.3831648087457773
Stretching,NEUT,20,1,0.95,26.25,0.26052049653735343
